cluster_label,pct_water,pct_fs_risk_2020_5,pct_fs_risk_2050_5,pct_fs_risk_2020_100,pct_fs_risk_2050_100,pct_fs_risk_2020_500,pct_fs_risk_2050_500,total_population,pop_density
0,0.1664882408670801,37.8989782886334,47.47369093231167,68.73448275862074,74.87982120051086,77.55887611749675,80.76538952745855,6229.81098339719,479.40520218512546
1,0.0361375696572443,1.6435424354243509,1.8870110701106988,8.88892988929889,9.684132841328426,13.061254612546136,14.360590405904045,21662.51291512915,1764.6645918193974
2,0.0037471525488378668,0.0,0.0,0.0,0.0,0.1292307692307692,1.6099999999999999,395.2769230769231,1.0378703691026536
3,0.0322736993588756,14.69555555555556,15.475873015873002,31.023174603174578,32.026349206349195,39.350158730158725,40.55333333333335,3171.898412698413,53.93257932822225
4,0.019354041960922913,3.9067829457364303,4.034205426356588,12.172189922480616,12.421608527131774,16.188081395348814,16.428488372093025,1078.7267441860465,1.9387850191306906
5,0.021897172056811406,0.31595639246779006,0.36858275520317163,3.9150644202180414,4.27353815659069,6.959960356788897,7.723785926660055,25176.739345887017,2651.072460308036
6,0.021133077004722955,6.576207605344292,6.891880781089418,13.732065775950671,14.200000000000022,17.335919835560134,17.8902363823227,4901.2852004111,33.95862616186182
7,0.043730637140952586,0.9892913385826776,1.0689763779527566,8.294015748031498,8.677322834645667,15.902204724409446,16.819527559055093,28500.848818897637,1644.1805006072677
8,0.03001310710287459,0.9393989071038231,1.0332786885245895,5.811038251366107,6.277650273224038,9.089781420765041,9.618524590163917,22707.14863387978,813.7106050468602
9,0.01783300405361128,10.508891671884774,10.964057608015025,21.398872886662502,21.867376330619887,25.994113963681883,26.566687539135856,1579.3719474013776,7.29343727979642
10,0.03965581392407877,1.1984126984127,1.2962481962481969,6.284704184704188,6.718759018759022,13.469985569985573,14.165945165945178,18721.972582972583,576.5386799617957
11,0.0190130555310803,4.759408465068842,4.951555328913813,10.185313615502311,10.46124426313105,12.808567057623632,13.113768485466618,4488.960224375319,21.74471580115201
12,0.023218316984279185,1.8849213691026818,1.9735430157261804,5.09750231267345,5.274190564292322,6.991211840888062,7.184458834412578,7931.979648473635,53.98917430030077
13,0.022892530852637618,1.871231884057972,1.9486956521739136,5.310797101449276,5.491739130434781,7.583623188405787,7.787246376811595,5156.745652173913,28.057219947926196
14,0.03223651315247308,16.47462686567163,17.601256873527078,30.91563236449331,33.00573448546743,37.51681068342498,39.51830322073844,3194.3778476040848,28.03120349367025
15,0.016176984141467277,0.09193548387096788,0.10179211469534066,0.9847670250896058,1.1150537634408602,4.0505376344086015,4.824731182795695,18600.34229390681,1928.2293438996041
16,0.016010666236377053,7.694761350407453,7.990686845168796,17.926193247962765,18.328812572759034,22.750756693830038,23.281781140861444,2701.849825378347,13.505770501363438
17,0.0257115437772315,3.613465883416181,3.753863533664719,9.490103931314941,9.74925440578402,12.416357885223675,12.715408947130593,4619.013556258473,23.494336515796906
18,0.07751497216191831,5.672544378698227,7.354319526627223,26.123076923076937,33.098816568047326,41.348875739645024,46.995147928994044,18085.862721893493,967.248019676987
19,0.044027997929908434,0.006097560975609756,0.007317073170731707,0.10731707317073173,0.11707317073170731,0.6146341463414635,0.9817073170731709,8958.69512195122,2935.531541465983
20,0.05383494012052759,37.02569832402231,39.52532588454374,54.70130353817504,56.62513966480451,60.956238361266315,62.82160148975794,2579.754189944134,205.33438429232035
21,0.045599469936208156,5.1537822878228825,5.394095940959413,11.906365313653144,12.468081180811808,16.132564575645755,16.715129151291542,5545.365313653137,40.447981204241465
22,0.024910340382183514,0.30394511149228165,0.33670668953687877,3.0555746140651845,3.3367066895368747,5.616981132075468,6.007718696397943,21944.114065180103,1095.6033985521992
23,0.06493450501051785,6.8469933184855325,7.987527839643647,18.58028953229399,20.328396436525626,24.81804008908688,28.002895322939878,12044.765033407572,1068.272314025136
24,0.03142594556011481,0.08863109048723906,0.11113689095127623,2.3248259860788876,3.2317865429234343,7.384222737819029,8.740603248259871,33100.0928074246,2370.0972004637365
25,0.010218498224415989,0.0,0.0,0.0014367816091954023,0.004310344827586208,0.08505747126436784,0.3477011494252874,2566.6063218390805,2253.4006469115425
26,0.043166070389602094,7.064271844660203,7.980582524271852,20.675145631067934,21.759611650485432,28.15436893203885,29.622330097087367,12802.7786407767,459.5115567973534
27,0.017847727591558653,3.3152327935222665,3.4445344129554663,7.552378542510111,7.783147773279346,9.590738866396757,9.851265182186225,6534.381578947368,37.7518974509575
28,0.04548945444666203,1.9940698619008905,2.3050365556458146,11.382128350934199,12.774004874086106,19.025264012997557,21.169049553208776,20271.443541835906,874.7502829701548
29,0.007103558895116106,4.792307692307694,4.876592224979321,11.624234904880069,11.772043010752704,14.771298593879227,14.861703887510327,756.3904052936311,1.847924689997062
